4294950001	137
4294950041	59029
4294950043	56807
4294950053	21017
4294950067	76649
4294950089	22481
4294950113	5807
4294950131	429495013
4294950139	238608341
4294950161	17783
4294950197	1073737549
4294950251	17179801
4294950271	11012693
4294950277	1663
4294950293	76537
4294950299	2147475149
4294950301	2713
4294950311	4931
4294950337	7456511
4294950353	1427
4294950377	536868797
4294950391	47721671
4294950427	6118163
4294950433	95801
4294950461	104297
4294950481	6833
4294950493	50177
4294950503	2147475251
4294950509	1073737627
4294950529	27481
4294950557	1879
4294950587	1530631
4294950593	387911
4294950599	322783
4294950617	1571
4294950641	8849
4294950661	197
4294950739	1776241
4294950749	97612517
4294950767	33391
4294950791	2541391
4294950797	2833081
4294950809	41231
4294950823	102451
4294950827	2147475413
4294950883	42349
4294950901	349183
4294950917	323123
4294950929	128993
4294950943	770533
4294950973	9419
4294951021	134807
4294951033	1139849
4294951057	2711459
4294951091	2571827
4294951093	5187139
4294951097	3918751
4294951123	9296431
4294951147	5819717
4294951153	89478149
4294951163	248177
4294951181	351469
4294951237	39768067
4294951261	71582521
4294951279	5636419
4294951303	62143
4294951333	61381
4294951337	41297609
4294951357	357912613
4294951369	8713
4294951393	2017
4294951403	765043
4294951421	32831
4294951447	312451
4294951471	17747
4294951477	56929
4294951489	7456513
4294951523	14412589
4294951541	10709
4294951543	1319
4294951567	14891
4294951571	887
4294951579	224467
4294951613	153391129
4294951627	14608679
4294951643	20443
4294951657	178956319
4294951673	2851
4294951709	92111
4294951733	272039
4294951747	715825291
4294951751	17179807
4294951763	27183239
4294951769	4271
4294951777	9257
4294951789	4902913
4294951811	450677
4294951813	119304217
4294951819	715825303
4294951849	17107
4294951877	809
4294951879	102260759
4294951889	218417
4294951891	3967
4294951931	429495193
4294951949	153391141
4294951967	21283
4294952069	97612547
4294952099	8910689
4294952117	1685617
4294952159	306782297
4294952183	18289
4294952201	163
4294952203	13506139
4294952237	68993
4294952239	715825373
4294952269	357912689
4294952297	1726267
4294952303	293893
4294952371	15907231
4294952383	735689
4294952399	195225109
4294952407	26687
4294952419	94849
4294952423	2147476211
4294952429	35771
4294952533	3059083
4294952569	59652119
4294952639	16392949
4294952647	2785313
4294952653	126337
4294952677	17043463
4294952687	10177613
4294952699	113025071
4294952719	333097
4294952749	421
4294952807	7329271
4294952839	1283
4294952873	1631821
4294952899	37997
4294952917	22133
4294952951	2095099
4294952969	47599
4294952999	2578003
4294953023	3307
4294953043	10267
4294953079	2898079
4294953101	28387
4294953119	164419
4294953127	1187107
4294953149	20071
4294953167	1339661
4294953181	1136231
4294953197	269987
4294953199	857
4294953217	13411
4294953239	2147476619
4294953241	160499
4294953251	22937
4294953307	1794049
4294953343	691
